"team_selection1","team_position","team_name","team_points","team_played","team_win","team_draw","team_loss","team_goals_for","team_goals_against"
"1969–70 Bundesliga","4","1. FC Köln","43","34","20","3","11","83","38"
"1969–70 Bundesliga","5","Borussia Dortmund","36","34","14","8","12","60","67"
"1969–70 Bundesliga","6","Hamburger SV","35","34","12","11","11","57","54"
"1969–70 Bundesliga","7","VfB Stuttgart","35","34","14","7","13","59","62"
"1969–70 Bundesliga","8","Eintracht Frankfurt","34","34","12","10","12","54","54"
"1969–70 Bundesliga","9","Schalke 04","34","34","11","12","11","43","54"
"1969–70 Bundesliga","10","1. FC Kaiserslautern","32","34","10","12","12","44","55"
"1969–70 Bundesliga","11","Werder Bremen","31","34","10","11","13","38","47"
"1969–70 Bundesliga","12","Rot-Weiss Essen","31","34","8","15","11","41","54"
"1969–70 Bundesliga","13","Hannover 96","30","34","11","8","15","49","61"
"1969–70 Bundesliga","14","Rot-Weiß Oberhausen","29","34","11","7","16","50","62"
"1969–70 Bundesliga","15","MSV Duisburg","29","34","9","11","14","35","48"
"1969–70 Bundesliga","16","Eintracht Braunschweig","28","34","9","10","15","40","49"
"1969–70 Bundesliga","17","1860 Munich","25","34","9","7","18","41","56"
"1969–70 Bundesliga","18","Alemannia Aachen","17","34","5","7","22","31","83"
"1970–71 Bundesliga","1","Borussia Mönchengladbach","50","34","20","10","4","77","35"
"1970–71 Bundesliga","2","Bayern Munich","48","34","19","10","5","74","36"
"1970–71 Bundesliga","3","Hertha BSC","41","34","16","9","9","61","43"
"1970–71 Bundesliga","4","Eintracht Braunschweig","39","34","16","7","11","52","40"
"1970–71 Bundesliga","5","Hamburger SV","37","34","13","11","10","54","63"
"1970–71 Bundesliga","6","Schalke 04","36","34","15","6","13","44","40"
"1970–71 Bundesliga","7","MSV Duisburg","35","34","12","11","11","43","47"
"1970–71 Bundesliga","8","1. FC Kaiserslautern","34","34","15","4","15","54","57"
"1970–71 Bundesliga","9","Hannover 96","33","34","12","9","13","53","49"
"1970–71 Bundesliga","10","Werder Bremen","33","34","11","11","12","41","40"
"1970–71 Bundesliga","11","1. FC Köln","33","34","11","11","12","46","56"
"1970–71 Bundesliga","12","VfB Stuttgart","30","34","11","8","15","49","49"
"1970–71 Bundesliga","13","Borussia Dortmund","29","34","10","9","15","54","60"
"1970–71 Bundesliga","14","Arminia Bielefeld","29","34","12","5","17","34","53"
"1970–71 Bundesliga","15","Eintracht Frankfurt","28","34","11","6","17","39","56"
"1970–71 Bundesliga","16","Rot-Weiß Oberhausen","27","34","9","9","16","54","69"
"1970–71 Bundesliga","17","Kickers Offenbach","27","34","9","9","16","49","65"
"1970–71 Bundesliga","18","Rot-Weiss Essen","23","34","7","9","18","48","68"
"1971–72 Bundesliga","1","Bayern Munich","55","34","24","7","3","101","38"
"1971–72 Bundesliga","2","Schalke 04","52","34","24","4","6","76","35"
"1971–72 Bundesliga","3","Borussia Mönchengladbach","43","34","18","7","9","82","40"
"1971–72 Bundesliga","4","1. FC Köln","43","34","15","13","6","64","44"
"1971–72 Bundesliga","5","Eintracht Frankfurt","39","34","16","7","11","71","61"
"1971–72 Bundesliga","6","Hertha BSC","37","34","14","9","11","46","55"
"1971–72 Bundesliga","7","1. FC Kaiserslautern","35","34","14","7","13","59","53"
"1971–72 Bundesliga","8","VfB Stuttgart","35","34","13","9","12","52","56"
"1971–72 Bundesliga","9","VfL Bochum","34","34","14","6","14","59","69"
"1971–72 Bundesliga","10","Hamburger SV","33","34","13","7","14","52","52"
"1971–72 Bundesliga","11","Werder Bremen","31","34","11","9","14","63","58"
"1971–72 Bundesliga","12","Eintracht Braunschweig","31","34","8","15","11","43","48"
"1971–72 Bundesliga","13","Fortuna Düsseldorf","30","34","10","10","14","40","53"
"1971–72 Bundesliga","14","MSV Duisburg","27","34","10","7","17","36","51"
"1971–72 Bundesliga","15","Rot-Weiß Oberhausen","25","34","7","11","16","33","66"
"1971–72 Bundesliga","16","Hannover 96","23","34","10","3","21","54","69"
"1971–72 Bundesliga","17","Borussia Dortmund","20","34","6","8","20","34","83"
"1971–72 Bundesliga","18","Arminia Bielefeld","0","0","0","0","0","0","0"
"1972–73 Bundesliga","1","Bayern Munich","54","34","25","4","5","93","29"
"1972–73 Bundesliga","2","1. FC Köln","43","34","16","11","7","66","51"
"1972–73 Bundesliga","3","Fortuna Düsseldorf","42","34","15","12","7","62","45"
"1972–73 Bundesliga","4","Wuppertaler SV","40","34","15","10","9","62","49"
