season,position,club,points,played,win,draw,loss,GF,GA,GD,city
1971–72,18,Arminia Bielefeld,0,0,0,0,0,0,0,0,Bielefeld
1972–73,1,FC Bayern Munich,54,34,25,4,5,93,29,64,Munich
1972–73,2,1. FC Köln,43,34,16,11,7,66,51,15,Cologne
1972–73,3,Fortuna Düsseldorf,42,34,15,12,7,62,45,17,Düsseldorf
1972–73,4,Wuppertaler SV,40,34,15,10,9,62,49,13,Wuppertal
1972–73,5,Borussia Mönchengladbach,39,34,17,5,12,82,61,21,Mönchengladbach
1972–73,6,VfB Stuttgart,37,34,17,3,14,71,65,6,Stuttgart
1972–73,7,Kickers Offenbach,35,34,14,7,13,61,60,1,Offenbach
1972–73,8,Eintracht Frankfurt,34,34,15,4,15,58,54,4,Frankfurt
1972–73,9,1. FC Kaiserslautern,34,34,12,10,12,58,68,-10,Kaiserslautern
1972–73,10,MSV Duisburg,33,34,12,9,13,53,54,-1,Duisburg
1972–73,11,Werder Bremen,31,34,12,7,15,50,52,-2,Bremen
1972–73,12,VfL Bochum,31,34,11,9,14,50,68,-18,Bochum
1972–73,13,Hertha BSC,30,34,11,8,15,53,64,-11,Berlin
1972–73,14,Hamburger SV,28,34,10,8,16,53,59,-6,Hamburg
1972–73,15,FC Schalke 04,28,34,10,8,16,46,61,-15,Gelsenkirchen
1972–73,16,Hannover 96,26,34,9,8,17,49,65,-16,Hanover
1972–73,17,Eintracht Braunschweig,25,34,9,7,18,33,56,-23,Braunschweig
1972–73,18,Rot-Weiß Oberhausen,22,34,9,4,21,45,84,-39,Oberhausen
1973–74,1,FC Bayern Munich,49,34,20,9,5,95,53,42,Munich
1973–74,2,Borussia Mönchengladbach,48,34,21,6,7,93,52,41,Mönchengladbach
1973–74,3,Fortuna Düsseldorf,41,34,16,9,9,61,47,14,Düsseldorf
1973–74,4,Eintracht Frankfurt,41,34,15,11,8,63,50,13,Frankfurt
1973–74,5,1. FC Köln,39,34,16,7,11,69,56,13,Cologne
1973–74,6,1. FC Kaiserslautern,38,34,15,8,11,80,69,11,Kaiserslautern
1973–74,7,FC Schalke 04,37,34,16,5,13,72,68,4,Gelsenkirchen
1973–74,8,Hertha BSC,33,34,11,11,12,56,60,-4,Berlin
1973–74,9,VfB Stuttgart,31,34,12,7,15,58,57,1,Stuttgart
1973–74,10,Kickers Offenbach,31,34,11,9,14,56,62,-6,Offenbach
1973–74,11,Werder Bremen,31,34,9,13,12,48,56,-8,Bremen
1973–74,12,Hamburger SV,31,34,13,5,16,53,62,-9,Hamburg
1973–74,13,Rot-Weiss Essen,31,34,10,11,13,56,70,-14,Essen
1973–74,14,VfL Bochum,30,34,9,12,13,45,57,-12,Bochum
1973–74,15,MSV Duisburg,29,34,11,7,16,42,56,-14,Duisburg
1973–74,16,Wuppertaler SV,25,34,8,9,17,42,65,-23,Wuppertal
1973–74,17,Fortuna Köln,25,34,8,9,17,46,79,-33,Cologne
1973–74,18,Hannover 96,22,34,6,10,18,50,66,-16,Hanover
1974–75,1,Borussia Mönchengladbach,50,34,21,8,5,86,40,46,Mönchengladbach
1974–75,2,Hertha BSC,44,34,19,6,9,61,43,18,Berlin
1974–75,3,Eintracht Frankfurt,43,34,18,7,9,89,49,40,Frankfurt
1974–75,4,Hamburger SV,43,34,18,7,9,55,38,17,Hamburg
1974–75,5,1. FC Köln,41,34,17,7,10,77,51,26,Cologne
1974–75,6,Fortuna Düsseldorf,41,34,16,9,9,66,55,11,Düsseldorf
1974–75,7,FC Schalke 04,39,34,16,7,11,52,37,15,Gelsenkirchen
1974–75,8,Kickers Offenbach,38,34,17,4,13,72,62,10,Offenbach
1974–75,9,Eintracht Braunschweig,36,34,14,8,12,52,42,10,Braunschweig
1974–75,10,FC Bayern Munich,34,34,14,6,14,57,63,-6,Munich
1974–75,11,VfL Bochum,33,34,14,5,15,53,53,0,Bochum
1974–75,12,Rot-Weiss Essen,32,34,10,12,12,56,68,-12,Essen
1974–75,13,1. FC Kaiserslautern,31,34,13,5,16,56,55,1,Kaiserslautern
1974–75,14,MSV Duisburg,30,34,12,6,16,59,77,-18,Duisburg
1974–75,15,Werder Bremen,25,34,9,7,18,45,69,-24,Bremen
1974–75,16,VfB Stuttgart,24,34,8,8,18,50,79,-29,Stuttgart
1974–75,17,Tennis Borussia Berlin,16,34,5,6,23,38,89,-51,Berlin
1974–75,18,Wuppertaler SV,12,34,2,8,24,32,86,-54,Wuppertal
1975–76,1,Borussia Mönchengladbach,45,34,16,13,5,66,37,29,Mönchengladbach
1975–76,2,Hamburger SV,41,34,17,7,10,59,32,27,Hamburg
1975–76,3,FC Bayern Munich,40,34,15,10,9,72,50,22,Munich
1975–76,4,1. FC Köln,39,34,14,11,9,62,45,17,Cologne
1975–76,5,Eintracht Braunschweig,39,34,14,11,9,52,48,4,Braunschweig
1975–76,6,FC Schalke 04,37,34,13,11,10,76,55,21,Gelsenkirchen
1975–76,7,1. FC Kaiserslautern,37,34,15,7,12,66,60,6,Kaiserslautern
1975–76,8,Rot-Weiss Essen,37,34,13,11,10,61,67,-6,Essen
1975–76,9,Eintracht Frankfurt,36,34,13,10,11,79,58,21,Frankfurt
1975–76,10,MSV Duisburg,33,34,13,7,14,55,62,-7,Duisburg
1975–76,11,Hertha BSC,32,34,11,10,13,59,61,-2,Berlin
1975–76,12,Fortuna Düsseldorf,30,34,10,10,14,47,57,-10,Düsseldorf
1975–76,13,Werder Bremen,30,34,11,8,15,44,55,-11,Bremen
1975–76,14,VfL Bochum,30,34,12,6,16,49,62,-13,Bochum
1975–76,15,Karlsruher SC,30,34,12,6,16,46,59,-13,Karlsruhe
1975–76,16,Hannover 96,27,34,9,9,16,48,60,-12,Hanover
1975–76,17,Kickers Offenbach,27,34,9,9,16,40,72,-32,Offenbach
1975–76,18,KFC Uerdingen,22,34,6,10,18,28,69,-41,Krefeld
1976–77,1,Borussia Mönchengladbach,44,34,17,10,7,58,34,24,Mönchengladbach
1976–77,2,FC Schalke 04,43,34,17,9,8,77,52,25,Gelsenkirchen
1976–77,3,Eintracht Braunschweig,43,34,15,13,6,56,38,18,Braunschweig
1976–77,4,Eintracht Frankfurt,42,34,17,8,9,86,57,29,Frankfurt
1976–77,5,1. FC Köln,40,34,17,6,11,83,61,22,Cologne
1976–77,6,Hamburger SV,38,34,14,10,10,67,56,11,Hamburg
1976–77,7,FC Bayern Munich,37,34,14,9,11,74,65,9,Munich
1976–77,8,Borussia Dortmund,34,34,12,10,12,73,64,9,Dortmund
1976–77,9,MSV Duisburg,34,34,11,12,11,60,51,9,Duisburg
1976–77,10,Hertha BSC,34,34,13,8,13,55,54,1,Berlin
